,Date,Close,High,Low,Open,Volume
357,2/10/2022,7000.440918,7181.097458,7000.440918,7181.097458,93277000
358,2/11/2022,7068.1875,7068.1875,6910.113019,6932.695088,71968800
359,2/14/2022,6955.276855,7023.023059,6955.276855,7000.440991,57710700
360,2/15/2022,7113.351563,7113.351563,6977.859152,7000.44122,55617000
361,2/16/2022,7203.679688,7203.679688,7068.18728,7090.769348,77055100
362,2/17/2022,7135.933105,7158.515172,7045.604838,7090.768972,48704600
363,2/18/2022,7158.515137,7181.097203,7090.768937,7181.097203,56813400
364,2/21/2022,7181.097168,7203.679235,7135.933035,7158.515101,43821700
365,2/22/2022,7135.933105,7181.097239,7090.768972,7135.933105,80095500
366,2/23/2022,7271.42627,7316.590408,7113.351785,7135.933855,99240300
367,2/24/2022,7226.262207,7361.754623,7158.515999,7339.172554,124947700
368,2/25/2022,7271.42627,7384.336615,7158.515924,7181.097993,135899900
369,3/1/2022,7271.42627,7384.336615,7226.262131,7226.262131,136616800
370,3/2/2022,7203.679688,7429.500367,7203.679688,7429.500367,100301000
371,3/4/2022,7135.933105,7248.843439,7135.933105,7203.679306,132983400
372,3/7/2022,6955.276855,7090.769262,6955.276855,7045.605126,130990900
373,3/8/2022,6910.112793,7090.769337,6910.112793,6955.276929,119256500
374,3/9/2022,7090.769531,7181.097806,6910.112983,6955.27712,132814500
375,3/10/2022,7158.515137,7203.67927,7045.604803,7158.515137,86484000
376,3/11/2022,7181.097168,7181.097168,6977.858569,6977.858569,61053900
377,3/14/2022,7294.007813,7316.58988,7181.097475,7271.425745,78432100
378,3/15/2022,7361.754395,7406.918532,7294.008188,7361.754395,111214500
379,3/16/2022,7406.918457,7474.664662,7294.008115,7474.664662,149761300
380,3/17/2022,7226.262207,7497.24704,7226.262207,7497.24704,132439400
381,3/18/2022,7135.933105,7316.58964,7135.933105,7226.261373,143981700
382,3/21/2022,7135.933105,7181.097239,7045.604838,7045.604838,85485500
383,3/22/2022,7158.515137,7181.097203,7113.351003,7135.93307,60010900
384,3/23/2022,7135.933105,7181.097239,7068.186905,7158.515172,82208000
385,3/24/2022,7158.515137,7181.097203,7045.604803,7090.768937,95245100
386,3/25/2022,7181.097168,7181.097168,7135.933035,7135.933035,85101200
387,3/28/2022,7245.296387,7245.296387,7153.583774,7176.511927,83911500
388,3/29/2022,7199.439941,7245.296247,7176.511789,7222.368094,62180600
389,3/30/2022,7222.368164,7245.296317,7176.511858,7245.296317,71430600
390,3/31/2022,7314.081055,7337.009208,7222.36844,7268.224747,112691900
391,4/1/2022,7268.224121,7405.793032,7199.439666,7405.793032,105575400
392,4/4/2022,7245.296387,7268.22454,7176.511927,7268.22454,57321200
393,4/5/2022,7245.296387,7245.296387,7199.44008,7245.296387,48528300
394,4/6/2022,7107.727539,7199.440152,7107.727539,7176.511999,119263000
395,4/7/2022,7107.727539,7176.511999,7061.871232,7084.799386,68619400
396,4/8/2022,7199.439941,7222.368094,7130.655483,7153.583636,69791600
397,4/11/2022,7084.798828,7222.367737,7084.798828,7176.511434,62776200
398,4/12/2022,7153.583496,7153.583496,7061.870887,7084.799039,73471300
399,4/13/2022,7153.583496,7199.439801,7107.727192,7153.583496,57622100
400,4/14/2022,7061.871582,7153.5842,7061.871582,7153.5842,93342900
401,4/18/2022,7061.871582,7084.799737,6993.087119,7061.871582,68464700
402,4/19/2022,6993.086914,7061.871376,6993.086914,7061.871376,98632000
403,4/20/2022,7016.014648,7084.799106,6993.086496,7084.799106,124388800
404,4/21/2022,7268.224121,7268.224121,7107.727058,7153.583362,129323400
405,4/22/2022,7222.368164,7268.22447,7153.583705,7199.440011,85956100
406,4/25/2022,7337.009766,7337.009766,7176.512677,7222.368988,91279600
407,4/26/2022,7451.649902,7451.649902,7268.224674,7268.224674,128360900
408,4/27/2022,7520.434082,7520.434082,7405.793319,7405.793319,89463100
409,4/28/2022,7451.649902,7566.29067,7405.793595,7566.29067,133730600
410,5/9/2022,6970.158691,7245.296534,6970.158691,7222.368381,456796600
411,5/10/2022,6901.374023,6970.158482,6649.164342,6649.164342,268445700
412,5/11/2022,7016.014648,7061.870953,6832.589429,6901.373886,156535200
413,5/12/2022,6672.092773,6924.302466,6672.092773,6901.374312,240529600
414,5/13/2022,6717.949219,6855.518145,6649.164756,6649.164756,212968600
415,5/17/2022,6786.733398,6855.517859,6672.092632,6672.092632,159657600
416,5/18/2022,6947.22998,6947.22998,6763.804766,6878.445525,153514300
417,5/19/2022,6832.588867,6855.517018,6763.804416,6786.732566,140908900
418,5/20/2022,6786.733398,6855.517859,6786.733398,6809.661552,86520200
419,5/23/2022,6763.805664,6855.518283,6740.877509,6832.590128,71603500
420,5/24/2022,6740.877441,6855.518214,6717.949287,6717.949287,108710800
421,5/25/2022,6763.805664,6832.590128,6740.877509,6786.733819,76747400
422,5/27/2022,6947.22998,6947.22998,6855.517373,6901.373677,84336900
423,5/30/2022,6947.22998,6970.158132,6855.517373,6947.22998,105411400
424,5/31/2022,7107.727539,7107.727539,6901.374159,6970.158619,286292700
425,6/2/2022,6947.22998,7038.942587,6901.373677,6993.086284,149226300
426,6/3/2022,6970.158691,7038.943152,6947.230538,6970.158691,80563100
427,6/6/2022,6832.588867,6947.22962,6809.660717,6924.301469,81140300
428,6/7/2022,6763.805664,6855.518283,6695.0212,6695.0212,129242500
429,6/8/2022,6970.158691,6970.158691,6809.661616,6878.446077,108910500
430,6/9/2022,6878.445801,6947.230259,6878.445801,6878.445801,107828300
431,6/10/2022,6740.877441,6832.59006,6740.877441,6786.733751,111768600
432,6/13/2022,6740.877441,6786.733751,6672.092978,6695.021132,85539500
